Stephen Curry,46:55,9,27,.333,6,13,.462,14,14,1.000,3,8,11,8,2,0,8,4,38,+15,.573,.444,.481,.519,6.5,16.2,11.5,32.0,2.0,0.0,19.4,35.8,107,100,GSW,BOS,0,2015-12-11
Stephen Curry,35:14,10,22,.455,2,9,.222,6,7,.857,2,5,7,5,1,0,2,2,28,0,.558,.500,.409,.318,5.3,16.2,10.3,30.4,1.3,0.0,7.4,31.8,117,110,GSW,MIL,0,2015-12-12
Stephen Curry,29:35,10,14,.714,2,5,.400,3,5,.600,0,2,2,7,1,0,3,4,25,+37,.772,.786,.357,.357,0.0,6.9,3.6,38.1,1.5,0.0,15.6,26.7,134,99,PHO,GSW,1,2015-12-16
Stephen Curry,39:20,7,14,.500,2,6,.333,10,11,.909,2,8,10,9,2,0,6,2,26,+13,.690,.571,.429,.786,5.8,21.7,14.0,32.8,2.4,0.0,24.2,25.6,122,107,MIL,GSW,1,2015-12-18
Stephen Curry,34:13,5,14,.357,2,8,.250,4,4,1.000,1,4,5,9,3,0,3,2,16,+21,.508,.429,.571,.286,3.8,13.0,8.8,39.5,4.6,0.0,16.0,25.1,109,90,UTA,GSW,1,2015-12-23
Stephen Curry,36:35,6,15,.400,1,4,.250,6,6,1.000,1,6,7,7,2,0,3,3,19,+15,.539,.433,.267,.400,2.9,13.6,8.8,38.1,2.7,0.0,14.5,25.6,105,87,CLE,GSW,1,2015-12-25
Stephen Curry,30:22,7,16,.438,6,13,.462,3,4,.750,0,14,14,10,2,0,2,3,23,+24,.648,.625,.813,.250,0.0,37.5,20.7,49.5,3.0,0.0,10.1,26.6,136,90,SAC,GSW,1,2015-12-28
Stephen Curry,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSW,DAL,0,2015-12-30
Stephen Curry,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSW,HOU,0,2015-12-31
Stephen Curry,14:23,2,6,.333,1,5,.200,0,0,,0,1,1,4,2,0,2,1,5,+12,.417,.417,.833,.000,0.0,5.9,3.7,41.4,7.4,0.0,25.0,27.0,84,101,DEN,GSW,1,2016-01-02
Stephen Curry,31:51,12,21,.571,5,10,.500,1,1,1.000,0,3,3,4,2,0,2,4,30,+1,.700,.690,.476,.048,0.0,10.8,5.8,22.4,3.1,0.0,8.5,35.1,119,105,CHO,GSW,1,2016-01-04
